[ 2026-03-26 22:50:48,693 ] 17 root - INFO - Initiate the Data Ingestion
[ 2026-03-26 22:51:05,990 ] 69 root - INFO - Performed train test split on dataframe!
[ 2026-03-26 22:51:05,990 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 22:51:06,068 ] 77 root - INFO - Exported train & test data!!
[ 2026-03-26 22:51:06,069 ] 21 root - INFO - Data Initiation Completed
[ 2026-03-26 22:51:06,079 ] 25 root - INFO - Initiate the Data Validation
[ 2026-03-26 22:51:06,419 ] 27 root - INFO - Data Validation Completed
[ 2026-03-26 22:51:06,420 ] 56 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 22:51:06,428 ] 58 root - INFO - Starting data transformation
[ 2026-03-26 22:51:06,533 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-03-26 22:51:06,533 ] 45 root - INFO - Initialized KNNImputer with params: {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 22:51:06,562 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 22:51:06,567 ] 45 root - INFO - Exited saving object
[ 2026-03-26 22:51:06,567 ] 41 root - INFO - Enter the save object methos & mainutils class
[ 2026-03-26 22:51:06,570 ] 45 root - INFO - Exited saving object
[ 2026-03-26 22:51:06,572 ] 34 root - INFO - Data Transformation Started!!
[ 2026-03-26 22:51:06,572 ] 36 root - INFO - Model Training Started!
